"Immune.response","Defense.response","Response.to.external.biotic.stimulus"
"GM2564","FCER1A","H2-Q9"
"GM7030","FCER1G","H2-T23"
"GM8909","FCGR1","H2BC4"
"GM11127","FCGR2B","H2BC6"
"GM13271","FCGR3","H2BC7"
"GM13272","FCNA","H2BC8"
"GM13275","FCNB","H2BC12"
"GM13276","FEM1A","H2BC13"
"GM13277","FFAR2","H2BC21"
"GM13283","FFAR3","H60A"
"GM17472","FFAR4","H60B"
"GM20730","FGA","H60C"
"GM36028","FGB","HAMP"
"GM43218","FGG","HAMP2"
"GM43302","FGL2","HAVCR2"
"GM45717","FGR","HBA-A1"
"GP2","FLNB","HBA-A2"
"GPATCH3","FLOT1","HC"
"GPER1","FN1","HCK"
"GPLD1","FNDC4","HERC6"
"GPR17","FOXF1","HEXIM1"
"GPR31B","FOXP3","HK1"
"GPR33","FPR1","HMCN1"
"GPR183","FPR2","HMGB1"
"GPRC5B","FPR3","HMGB2"
"GPS2","FPR-RS3","HMGB3"
"GPX1","FPR-RS4","HMGB4"
"GPX2","FPR-RS6","HNRNPA0"
"GRAMD4","FPR-RS7","HNRNPUL1"
"GRN","FV1","HP"
"GSDMD","G3BP1","HPX"
"GSN","G3BP2","HRAS"
"GZMB","GABRA5","HRG"
"GZMM","GAL","HSF1"
"H2-AA","GALP","HSP84-2"
"H2-AB1","GAPDH","HSPD1"
"H2-BL","GATA3","HTRA1"
"H2-D1","GBP2","HYAL1"
"H2-DMA","GBP2B","HYAL2"
"H2-DMB1","GBP3","HYAL3"
"H2-EA-PS","GBP4","IDO1"
"H2-EB1","GBP5","IER3"
"H2-K1","GBP6","IFI27L2A"
"H2-L","GBP7","IFI27L2B"
"H2-M1","GBP8","IFI44"
"H2-M2","GBP9","IFI44L"
"H2-M3","GBP10","IFI202A"
"H2-M5","GCH1","IFI203"
"H2-M9","GFER","IFI204"
"H2-M10.1","GFI1","IFI205"
"H2-M10.2","GGT1","IFI208"
"H2-M10.3","GGT5","IFI209"
"H2-M10.4","GHRL","IFI211"
"H2-M10.5","GHSR","IFI214"
"H2-M10.6","GJA1","IFIH1"
"H2-M11","GM1987","IFIT1"
"H2-Q1","GM2564","IFIT1BL1"
"H2-Q2","GM4841","IFIT1BL2"
"H2-Q4","GM4951","IFIT2"
"H2-Q6","GM5431","IFIT3"
"H2-Q7","GM12185","IFIT3B"
"H2-Q8","GM43302","IFITM1"
"H2-Q9","GM45717","IFITM2"
"H2-Q10","GNG7","IFITM3"
"H2-T3","GPAM","IFITM6"
"H2-T22","GPATCH3","IFITM7"
"H2-T23","GPER1","IFNA"
"H2-T24","GPR17","IFNA1"
"H2BC4","GPR33","IFNA2"
"H2BC6","GPRC5B","IFNA4"
"H2BC7","GPS2","IFNA6"
"H2BC8","GPSM3","IFNA9"
"H2BC12","GPX1","IFNA11"
"H2BC13","GPX2","IFNA12"
"H2BC21","GPX4","IFNA13"
"H60A","GRAMD4","IFNAR1"
"H60B","GRIK2","IFNAR2"
"H60C","GRIN2B","IFNB1"
